"No","Team Name","from date","to date","week","PV Target","PV Actual","Articles","gap"," Target gap%","total week","","","","","","","","","","","","",""
"1","Online Web","2025-12-29","2026-01-04","week1","103,600","36,644","136","66,956","64.63%","","","","","","","","","","","","","",""
"1","Online Originals","2025-12-29","2026-01-04","week1","23,100","1,471","10","21,629","93.63%","","","","","","","","","","","","","",""
"1","Channel","2025-12-29","2026-01-04","week1","20,300","907","18","19,393","95.53%","","","","","","","","","","","","","",""
"1","รายการเศรษฐกิจ","2025-12-29","2026-01-04","week1","20,300","1,395","69","18,905","93.13%","","","","","","","","","","","","","",""
