"No","Team Name","from date","to date","week","PV Target","PV Actual","Articles","gap"," Target gap%","PV Actual"
"1","Health","2026-03-23","2026-03-29","week13","20,300","5,069","34","20,230","99.66%",""
"1","Tech","2026-03-23","2026-03-29","week13","23,100","4,418","74","23,066","99.85%",""
"1","Earth","2026-03-23","2026-03-29","week13","20,300","4,748","62","20,226","99.64%",""
"1","Outsource","2026-03-23","2026-03-29","week13","14,700","94","4","14,638","99.58%",""
"1","TVS","2026-03-23","2026-03-29","week13","0","5,451","88","-5,451","0.00%",""
"1","Online Web","","","","","","","","",""
"1","Online Originals","","","","","","","","",""
"1","Channel","","","","","","","","",""
"1","รายการเศรษฐกิจ","","","","","","","","",""
"1","World","","","","","","","","",""
"1","Wealth","","","","","","","","",""
"1","Health","","","","","","","","",""
"1","Tech","","","","","","","","",""
"1","Earth","","","","","","","","",""
"1","Outsource","","","","","","","","",""
"1","TVS","","","","","","","","",""
