"week","from date","to date","total week pv","total week article","total week target","gap pv","ทำได้กี่%","gapขาด%","","","","","","","","","","","","","",""
"Week 1","29/12/2025","4/1/2026","146,381","499","289,100","-142,719","50.63%","-49.37%","","","","","","","","","","","","","",""
"Week 2","5/1/2026","11/1/2026","171,601","666","289,100","-117,499","59.36%","-40.64%","","","","","","","","","","","","","",""
"Week 3","12/1/2026","18/1/2026","167,308","669","289,100","-121,792","57.87%","-42.13%","","","","","","","","","","","","","",""
