"No","Slug","title","Page View","Category","Author","Team","PUBLISHED AT","week_start","week_label","date"
"1","221203","เลือกตั้ง 2569 : การเมืองไทยหลังยุคลุง และนโยบายหาเสียงหันสู่ชาตินิยม","65","TNN Exclusive","Karoonporn","Online Originals","2025-12-29 0:28:16","2025-12-29 0:28:16","29 ธ.ค. 2025 – 4 ม.ค. 2026","2025-12-29"
"1","221204","เดิมพันการเมืองไทย เรายังมีหวังไหมกับการเลือกตั้ง ? กับ อ.สิริพรรณ นกสวน สวัสดี","93","TNN Exclusive","Karoonporn","Online Originals","2025-12-29 0:33:27","2025-12-29 0:33:27","29 ธ.ค. 2025 – 4 ม.ค. 2026","2025-12-29"
"1","221205","พยากรณ์อากาศวันนี้ 29 ธันวาคม 2568 เหนือ-อีสานอากาศเย็น กทม.อุณหภูมิต่ำสุด 21 องศาฯ","57","Earth","Tanvarut","Online Web","2025-12-29 6:48:28","2025-12-29 6:48:28","29 ธ.ค. 2025 – 4 ม.ค. 2026","2025-12-29"
"1","221206","กกล.บูรพา แจ้งผู้อพยพ จ.สระแก้ว กลับบ้านได้ตั้งแต่ 31 ธ.ค. ยกเว้น 4 หมู่บ้าน!","26","สังคม","Tanvarut","Online Web","2025-12-29 7:36:12","2025-12-29 7:36:12","29 ธ.ค. 2025 – 4 ม.ค. 2026","2025-12-29"
"1","221201","""อินเดีย"" ขาขึ้น โกยเงินพุ่ง ยักษ์เทคโนโลยีแห่เข้าลงทุนยาว ตอบโจทย์ศูนย์กลางโลก สู้สงคราม ""เอไอ""","41","Wealth","Thikamphon","Wealth","2025-12-29 8:00:00","2025-12-29 8:00:00","29 ธ.ค. 2025 – 4 ม.ค. 2026","2025-12-29"
